name,supportedImageTypes,promptFragment
Realistic 3D (Orthographic),"['floor_plan_2d', 'floor_plan_3d']","Transform this into a high-quality photorealistic 3D floor plan rendering. Use an orthographic top-down view. Apply realistic textures (wood flooring, tiled bathrooms), soft global illumination shadows, and ambient occlusion to show depth. Furnish the space with modern furniture proportional to the rooms."
Classic Blueprint,"['floor_plan_2d', 'floor_plan_3d', 'sketch_drawing']","Convert this image into a classic architectural blueprint style. Use a deep rich blue background with crisp, clean white lines for all walls, doors, and furniture. Maintain a strict technical drawing aesthetic with high contrast and schematic precision."
Watercolor Illustration,"['floor_plan_2d', 'sketch_drawing', 'exterior_garden']","Apply an artistic watercolor architectural illustration style. Use a white paper texture background. Render the layout with soft edges, pastel color washes, and a hand-painted aesthetic. Highlight landscape/plants with soft greens and living areas with warm tones."
B&W Pencil Sketch,"['floor_plan_2d', 'sketch_drawing', 'exterior_facade', 'floor_plan_3d']","Render this as a hand-drawn black and white graphite pencil sketch. Use a white paper background. Employ rough artistic lines, shading, and hatching to define walls and depth. Create the look of a preliminary architectural concept sketch."
Modern Marketing Plan (2D),['floor_plan_2d'],"Create a clean, modern 2D marketing floor plan. Use flat colors and vector-like lines. Render walls in solid grey or black. Color code the flooring (e.g., light wood for living areas, tiles for wet areas) but keep it flat without 3D shadows. Focus on clarity and readability for real estate listings."
High-End Photorealism,"['floor_plan_3d', 'interior_empty']","Enhance this rendering into a high-end photorealistic 3D image. Apply physically based rendering (PBR) materials to all surfaces. Use warm, natural sunlight entering from windows, creating realistic shadows. Ensure furniture looks plush and high-quality."
Clay Model (Monochrome),"['floor_plan_3d', 'exterior_facade', 'sketch_drawing']","Render this as a clean, white 'clay model' architectural visualization. Use a monochromatic white palette with soft ambient occlusion shadows to highlight form and geometry. Remove all material textures and colors; focus purely on light and massing."
Wireframe Tech (Holographic),"['floor_plan_3d', 'floor_plan_2d']","Transform this image into a technical wireframe rendering. Use a dark background. Outline all edges and furniture in glowing blue or white lines, simulating a CAD software view or a holographic projection. Emphasize structure over texture."
Ink & Marker Sketch,"['floor_plan_3d', 'sketch_drawing']",Render this as a hand-drawn architectural concept sketch. Use strong black ink outlines for geometry and 'alcohol marker' style coloring for floors and furniture. Keep the lines loose and expressive to suggest a creative design phase.
Photorealistic Rendering (Sketch-to-Reality),"['sketch_drawing', 'floor_plan_2d', 'floor_plan_3d', 'interior_empty']","Interpret this rough sketch and generate a high-quality, photorealistic image based on the lines provided. Hallucinate realistic details, textures, and lighting to fill in the gaps. Turn the sketched outlines into real objects (e.g., turn a square outline into a realistic wooden table, squiggles into lush plants)."
Digital Concept Art,"['sketch_drawing', 'interior_living_room', 'exterior_facade']","Transform this sketch into a polished digital concept art painting. Use a painterly style with soft edges and dramatic lighting. Focus on atmosphere, mood, and color harmony rather than strict photorealism. Make it look like production art for a film or game."
Clean Vector Line Art,"['sketch_drawing', 'floor_plan_2d']","Clean up this sketch into a professional vector-style line drawing. Straighten messy lines, correct perspective errors, and remove eraser marks or noise. Use uniform black line weights on a pure white background. Focus on clarity and geometric precision."
Ink & Watercolor,"['sketch_drawing', 'exterior_garden', 'exterior_facade']","Refine this sketch into a professional ink and watercolor illustration. distinct black ink outlines to define the structure, filled with soft, translucent watercolor washes. Use vibrant but natural colors. Keep the artistic, hand-crafted character of the original sketch."
Modern Minimalist,"['interior_living_room', 'interior_bedroom', 'interior_kitchen', 'interior_dining_room', 'interior_office', 'interior_empty']","Redesign this room in a Modern Minimalist style. Focus on clean lines, open space, and a monochromatic color palette (whites, greys, and blacks). Use functional furniture with simple geometric shapes. Remove all clutter and ornamentation. Maximize natural light."
Scandi (Scandinavian),"['interior_living_room', 'interior_bedroom', 'interior_dining_room', 'interior_kids_room', 'interior_sunroom']","Apply a Scandinavian (Scandi) design aesthetic. Use light-colored woods (like ash or pine), soft neutral colors, and cozy textures (wool, linen). Prioritize functionality and a 'hygge' atmosphere. Include botanical accents and simple, elegant furniture."
Industrial Loft,"['interior_living_room', 'interior_kitchen', 'interior_dining_room', 'interior_office', 'interior_game_room']","Transform this space into an Industrial Loft style. Incorporate raw materials like exposed brick walls, concrete floors, and visible ductwork. Use black metal finishes and distressed leather furniture. Aim for a masculine, edgy, and spacious warehouse look."
Bohemian (Boho),"['interior_living_room', 'interior_bedroom', 'interior_sunroom', 'exterior_balcony', 'exterior_rooftop']","Redesign this room in a Bohemian (Boho) style. Use an eclectic mix of patterns, textures, and warm earth tones (terracotta, rust, sage green). Include natural materials like rattan, wicker, and bamboo. Add an abundance of indoor plants and layered textiles."
Mid-Century Modern,"['interior_living_room', 'interior_dining_room', 'interior_office', 'interior_bedroom']","Apply a Mid-Century Modern aesthetic (1950s-1960s style). Use furniture with clean lines, organic curves, and tapered legs. Focus on wood finishes like teak and walnut. Incorporate bold accent colors like mustard yellow, olive green, or teal alongside geometric patterns."
Modern Farmhouse,"['interior_kitchen', 'interior_dining_room', 'interior_laundry_room', 'exterior_facade']","Redesign this kitchen in a Modern Farmhouse style. Use white shaker-style cabinetry with high-contrast black metal hardware. Include a classic apron-front farmhouse sink. Incorporate rustic elements like reclaimed wood beams or open shelving alongside clean, modern quartz countertops."
Sleek Modern (Minimalist),"['interior_kitchen', 'interior_bathroom', 'interior_living_room', 'commercial_office']","Apply a Sleek Modern Minimalist design. Use flat-panel, handleless cabinetry for a seamless look. Incorporate high-end materials like a waterfall marble or quartz island. Ensure appliances are integrated or stainless steel. Keep surfaces completely clutter-free and lighting cool and architectural."
Classic Traditional,"['interior_kitchen', 'interior_dining_room', 'interior_bathroom', 'interior_entryway']",Design this kitchen in a Classic Traditional style. Focus on elegance and symmetry. Use raised-panel cabinetry with ornate detailing and crown molding. Include a substantial island with decorative legs or corbels. Select warm stone countertops and classic lighting fixtures like lanterns or chandeliers.
Industrial Chef's Kitchen,"['interior_kitchen', 'commercial_restaurant', 'interior_game_room']",Transform this space into an Industrial Chef's kitchen. Prioritize functionality with commercial-grade stainless steel appliances and countertops. Use open metal shelving instead of upper cabinets. Expose architectural details like brick or ductwork. Use subway tile and concrete finishes.
Coastal / Hamptons,"['interior_kitchen', 'interior_dining_room', 'interior_living_room', 'interior_sunroom', 'interior_bedroom']","Redesign this kitchen with a Coastal / Hamptons aesthetic. Use a palette of crisp whites and soft ocean blues. Install shaker cabinets and perhaps a beadboard ceiling. Use natural materials like light oak flooring and rattan or woven pendant lights to create a breezy, beach-house atmosphere."
Japandi (Zen Sanctuary),"['interior_bedroom', 'interior_bathroom', 'interior_living_room', 'interior_sunroom']","Redesign this bedroom in a Japandi style. Blend Scandinavian functionality with Japanese rustic minimalism. Use a low-profile platform bed and natural materials like bamboo, light wood, and linen. Keep colors warm and neutral (cream, beige, stone). Focus on creating a Zen, uncluttered sanctuary."
Boutique Hotel Luxury,"['interior_bedroom', 'interior_bathroom', 'commercial_lobby']","Transform this room into a high-end Boutique Hotel suite. Focus on symmetry and opulence. Use a large, upholstered headboard as the focal point. Incorporate rich textures like velvet and silk. Add wall sconces for ambient lighting and ensure the bedding looks crisp, layered, and expensive."
