id,name,promptFragment
64c3171d-205a-4cb4-8211-85139c2bd38c,Art Gallery Style,"This style transforms any space into a sophisticated art gallery, featuring crisp white walls that serve as a pristine backdrop for meticulously curated artwork. Directional track lighting or sleek wall sconces precisely illuminate each piece, creating a dramatic and rhythmic visual flow, with minimal furniture to ensure art remains the focal point. The overall atmosphere is refined, elegant, and intensely focused on visual impact and artistic appreciation."
33999e2f-3a5d-4346-880d-417ca20d7e6b,Biophilic Design (Green Office),"This style prioritizes employee well-being by integrating nature through lush living green walls and abundant potted plants. It features a palette of natural materials like light-toned wood, cork, and stone, paired with organic, curved furniture forms. The design maximizes natural light, creating a serene, rejuvenating atmosphere conducive to focus and connection with the natural world."
2b426744-359f-479e-bbfc-6018003766e7,Bohemian (Boho),"Embrace a free-spirited Bohemian aesthetic with an eclectic mix of patterns and rich textures. Dominant warm earth tones like terracotta, rust, and sage green are complemented by natural materials such as rattan, wicker, and bamboo furniture. The atmosphere is inviting and serene, enhanced by abundant indoor plants, soft layered textiles, and warm, diffused lighting."
c084f331-e084-4ba6-9175-8dd6591ad888,Boho Chic,"Embrace a relaxed, earthy, and free-spirited aesthetic with natural materials like rattan, wicker, and light wood. Incorporate a palette of warm earth tones, creams, and muted natural hues, enhanced by layered patterned textiles on rugs and pillows. Furniture should be comfortable and organic, complemented by abundant greenery and handcrafted accents like macramé, creating an inviting and eclectic atmosphere with soft, ambient lighting."
50cc9c65-49ff-4555-a975-03fec7e1d82e,Boho Creative,"This Bohemian Creative workspace blends vintage and mid-century aesthetics with an eclectic, personal touch. Feature a warm, natural wood desk, layered with rich textures from patterned rugs, vibrant textiles, and a densely curated gallery wall. Soft, diffused lighting enhances a lived-in, inspiring atmosphere, complemented by abundant hanging and potted plants."
6d38b567-9f31-4982-841e-32ad8264720c,Boho Warmth,"This style embraces a relaxed, inviting atmosphere with natural textures and warm hues. A vintage timber console table serves as a focal point, complemented by a colorful patterned runner rug (kilim or Persian) and natural elements like wicker baskets and lush hanging plants. Soft, warm lighting enhances the cozy and eclectic bohemian vibe."
81074799-0c27-45cb-9047-cbf770c18814,Botanical Conservatory,"Design a Botanical Conservatory. Fill the space with lush greenery—large potted plants, hanging ferns, and trailing vines. Use natural flooring materials like terracotta or slate. Furnish with vintage metal or weathered wood pieces to create an established, greenhouse atmosphere."
aff90729-ed42-410b-b580-875f96ed253e,"Boutique Luxury (The ""Dream Closet"")",Transform this space into a Boutique Luxury closet. Design it to feel like a high-end fashion retail store. Include a central island with storage. Use glass-fronted cabinets to display clothing. incorporate integrated LED lighting for shelves and a statement chandelier. Use premium finishes like marble and white lacquer.
f2a4709c-87b3-409f-b87d-7b312cde03aa,Bright Scandi (Widening),Apply a Bright Scandi aesthetic. The goal is to make the hallway feel wider and lighter. Use pale wood flooring and off-white wall paint. Add a light-colored runner rug to guide the eye. Use mirrors strategically to reflect light and expand the perceived space.
30a63b8c-2406-4a7d-a06c-1d32d384e82f,Bright White Studio (Scandi),Design a Bright Scandi Studio. Paint all walls and sloped ceilings pure white to reflect light and open up the cramped space. Use light oak flooring. Install skylights if possible. Keep furniture minimal and functional to maximize the usable floor area.
5eaf99c2-725b-4c46-8b85-3206e2e33d43,B&W Pencil Sketch,"Render this scene as a hand-drawn black and white graphite pencil sketch on a clean white paper background. Employ rough, expressive artistic lines, delicate shading, and deliberate hatching techniques to articulate architectural elements, define depth, and suggest textures. The atmosphere should evoke a preliminary, yet sophisticated, architectural concept, focusing on form and spatial relationships rather than literal color or material detail."
7204da6e-f76e-432e-8852-3e83f2a4deba,Classic Blueprint,"Convert this image into a classic architectural blueprint style. Use a deep rich blue background with crisp, clean white lines for all walls, doors, and furniture. Maintain a strict technical drawing aesthetic with high contrast and schematic precision."
9f953f3c-0193-4f5c-8387-36f0825bb07e,Classic Pub | Billiard Room,"Transform this space into a Classic Pub & Billiard Room. Use rich, dark woods for wainscoting and bar areas. Center the room around a pool table or poker table. Incorporate leather seating and vintage-style lighting. The atmosphere should be warm, masculine, and club-like."
517403ee-e34d-4726-8165-f99c5252b0e5,Classic Wainscoting,"Design a Classic hallway with wainscoting. Install architectural molding—either beadboard, board-and-batten, or chair rails—on the lower half of the walls (painted white). Use a contrasting soft color or wallpaper above. Add classic wall sconces."
