id,name,promptFragment
64c3171d-205a-4cb4-8211-85139c2bd38c,Art Gallery Style,"Sophisticated gallery aesthetic featuring crisp white walls as pristine backdrops. Directional track lighting or sleek wall sconces create dramatic visual focus. Minimal furniture ensures clean sightlines. Refined, elegant atmosphere with intense focus on visual impact and artistic presentation."
33999e2f-3a5d-4346-880d-417ca20d7e6b,Biophilic Design (Green Office),"Nature-integrated design featuring lush living green walls and abundant potted plants. Natural materials like light-toned wood, cork, and stone paired with organic, curved furniture forms. Maximized natural light creates a serene, rejuvenating atmosphere fostering connection with the natural world."
2b426744-359f-479e-bbfc-6018003766e7,Bohemian (Boho),"Free-spirited Bohemian aesthetic with an eclectic mix of patterns and rich textures. Warm earth tones like terracotta, rust, and sage green complemented by natural materials such as rattan, wicker, and bamboo. Inviting and serene atmosphere enhanced by abundant indoor plants, soft layered textiles, and warm, diffused lighting."
c084f331-e084-4ba6-9175-8dd6591ad888,Boho Chic,"Relaxed, earthy, and free-spirited aesthetic with natural materials like rattan, wicker, and light wood. Warm earth tones, creams, and muted natural hues enhanced by layered patterned textiles. Comfortable, organic furniture complemented by abundant greenery and handcrafted accents like macramé. Inviting, eclectic atmosphere with soft, ambient lighting."
50cc9c65-49ff-4555-a975-03fec7e1d82e,Boho Creative,"Bohemian Creative aesthetic blending vintage and mid-century elements with an eclectic, personal touch. Warm natural wood surfaces layered with rich textures from patterned rugs and vibrant textiles. Curated gallery wall arrangements and soft, diffused lighting enhance a lived-in, inspiring atmosphere, complemented by abundant hanging and potted plants."
6d38b567-9f31-4982-841e-32ad8264720c,Boho Warmth,"Relaxed, inviting atmosphere with natural textures and warm hues. Vintage timber furniture serves as focal points, complemented by colorful patterned textiles (kilim or Persian patterns) and natural elements like wicker baskets and lush hanging plants. Soft, warm lighting enhances the cozy and eclectic bohemian vibe."
81074799-0c27-45cb-9047-cbf770c18814,Botanical Conservatory,"Lush botanical conservatory aesthetic filled with abundant greenery—large potted plants, hanging ferns, and trailing vines. Natural flooring materials like terracotta or slate. Vintage metal or weathered wood furniture creates an established, greenhouse atmosphere with verdant, garden-like tranquility."
aff90729-ed42-410b-b580-875f96ed253e,"Boutique Luxury (The ""Dream Closet"")","High-end boutique luxury aesthetic resembling an upscale fashion retail environment. Glass-fronted display cabinetry with integrated LED lighting. Premium finishes like marble and white lacquer surfaces. Statement chandelier or decorative lighting. Sophisticated, curated presentation with elegant organizational systems."
f2a4709c-87b3-409f-b87d-7b312cde03aa,Bright Scandi (Widening),"Bright Scandinavian aesthetic designed to maximize light and spaciousness. Pale wood flooring and off-white walls. Light-colored textiles and runners to guide the eye. Strategic mirror placement to reflect light and expand perceived space. Airy, open atmosphere."
30a63b8c-2406-4a7d-a06c-1d32d384e82f,Bright White Studio (Scandi),"Bright Scandinavian aesthetic with pure white walls and surfaces to reflect light and maximize openness. Light oak flooring and abundant natural light emphasis. Minimal, functional furniture to maximize usable space. Clean, airy, and uncluttered atmosphere."
5eaf99c2-725b-4c46-8b85-3206e2e33d43,B&W Pencil Sketch,"Hand-drawn black and white graphite pencil sketch on clean white paper background. Rough, expressive artistic lines with delicate shading and deliberate hatching techniques. Focus on form and spatial relationships rather than literal color or material detail. Preliminary yet sophisticated architectural concept aesthetic."
7204da6e-f76e-432e-8852-3e83f2a4deba,Classic Blueprint,"Classic architectural blueprint style with deep rich blue background and crisp, clean white lines for all structural elements. Strict technical drawing aesthetic with high contrast and schematic precision. Professional drafting presentation."
9f953f3c-0193-4f5c-8387-36f0825bb07e,Classic Pub | Billiard Room,"Classic pub and gentlemans club aesthetic with rich, dark wood wainscoting and paneling. Leather seating with brass nail-head trim. Vintage-style pendant and sconce lighting. Warm, masculine, and sophisticated club-like atmosphere with traditional craftsmanship details."
517403ee-e34d-4726-8165-f99c5252b0e5,Classic Wainscoting,"Classic architectural wainscoting with molding—beadboard, board-and-batten, or chair rails—on lower wall sections. Contrasting soft colors or wallpaper above the rail. Classic wall sconces for elegant lighting. Traditional, refined character with timeless millwork details."
7bedf5b7-2af1-4162-a658-86e241a7e5fe,Clay Model (Monochrome),"Clean white clay model architectural visualization. Monochromatic white palette with soft ambient occlusion shadows highlighting form and geometry. No material textures or colors—pure focus on light, massing, and spatial relationships."
1eabbf72-9e5d-45fb-9f0d-4c078ba6a663,Clean & Bright (Minimalist Utility),"Clean and bright minimalist aesthetic emphasizing hygiene and freshness. All-white or very light palette with flat-panel cabinetry and light stone surfaces. Seamlessly integrated fixtures and appliances. Bright, cool lighting creating a pristine, organized atmosphere."
994c319b-0c89-4969-8a6a-0c9b5e4e6d15,Clean Vector Line Art,"Professional vector-style line drawing with clean, straightened lines and corrected perspective. Uniform black line weights on pure white background. Focus on clarity, geometric precision, and architectural accuracy. Technical illustration aesthetic."
68896d31-5f38-4455-996f-4db7c4651817,Coastal Fresh,"Coastal fresh aesthetic with crisp whites and soft sky blues. Beadboard textures and light wood surfaces. Airy and breezy atmosphere evoking seaside freshness. Natural light emphasis with relaxed, beach-inspired details."
17662ba6-8486-4324-b017-e584fd5bf0b9,Coastal | Hamptons,"Coastal Hamptons aesthetic featuring crisp whites and soft blues. High-quality wicker or rattan furniture with comfortable cushions. Beadboard architectural details and natural fiber textiles (jute/sisal). Airy, breezy, and sophisticated beach-house elegance."
9bc5fa76-2a73-47dc-9faa-dbdce58cd218,Coastal / Hamptons,"Coastal Hamptons aesthetic with crisp whites and soft ocean blues. Shaker-style cabinetry and beadboard details. Natural materials like light oak and rattan or woven accents. Breezy, beach-house atmosphere with relaxed sophistication."
8196d1fc-f99f-4a2d-bffd-b4a49a2fb3ef,Corporate Professional,"Corporate professional aesthetic prioritizing privacy and acoustics. Glass partitions maintain light flow while defining areas. High-quality commercial carpeting dampens sound. Neutral, professional color palette (greys, blues, beiges) conveying stability and professionalism. Clean, organized, business-appropriate atmosphere."
09717ead-d620-4ad8-aa1d-9f08ba4f0f9f,Cozy Bistro,"Cozy bistro aesthetic with space-saving furniture like foldable metal bistro sets. Wood deck tiles or outdoor rugs over hard surfaces. Vertical greenery with railing planters and hanging pots. Intimate, charming European cafe atmosphere with efficient use of space."
52d8befd-1541-421e-bba2-9b5f3479e7ab,Cozy Reading Nook,"Cozy reading nook aesthetic with custom built-in shelving and comfortable seating like window seats or daybeds. Layered soft pillows and blankets in rich textures. Intimate, quiet hideaway atmosphere perfect for relaxation. Warm, enveloping comfort with soft ambient lighting."
63cd8c55-3748-4ec2-8f4a-dd89afc6fd6e,Craftsman,"Craftsman architectural aesthetic featuring thick, tapered columns often on stone piers. Mix of siding and shingles in earth tones (greens, blues, browns). Exposed roof rafters and wide eaves as architectural details. Handcrafted character with natural materials and honest construction."
5b8ace31-ba29-4f75-87a3-4a2c52c7223e,Creative Huddle Space,"Creative collaborative aesthetic with informal seating like lounges, bean bags, or high-top stools. Functional walls with floor-to-ceiling whiteboards or glass writing surfaces. Vibrant colors stimulating energy and brainstorming. Dynamic, flexible, and innovation-focused atmosphere."
349d3936-96b0-4c42-940a-94c6bbc8a146,Digital Concept Art,"Polished digital concept art painting style with soft edges and dramatic lighting. Painterly aesthetic focusing on atmosphere, mood, and color harmony rather than strict photorealism. Production art quality suitable for film or game visualization."
a1d28b7b-ec76-457e-bc00-e3aa99e55b23,Executive Library (Traditional),"Executive library aesthetic with rich, dark wood tones (walnut or mahogany) for furniture and built-in shelving. Substantial leather seating (tufted or high-back). Scholarly, authoritative, and timeless atmosphere. Traditional craftsmanship with warm ambient lighting."
e1620f40-099f-4c02-a1c7-2f3bd41252a9,Formal Traditional,"Formal traditional aesthetic with polished dark wood furniture (mahogany or cherry). High-back upholstered seating for comfort and elegance. Classic architectural details like wainscoting and crown molding. Crystal chandelier or elegant pendant lighting. Refined, timeless sophistication."
8bf4ddfc-7348-4380-b065-48c532b8059f,Grand Traditional (First Impression),"Grand traditional aesthetic focusing on symmetry and elegance. Premium flooring like marble (checkered or bordered patterns). Curated furniture arrangements with statement pieces. Large mirrors and statement chandeliers. Impressive, welcoming atmosphere with classical proportions."
68ee5844-c6d3-4a5c-aace-531b7ee4f0dc,High-End Photorealism,"High-end photorealistic 3D rendering with physically based rendering (PBR) materials on all surfaces. Warm, natural sunlight creating realistic shadows. Plush, high-quality furniture and finishes. Professional architectural visualization quality."
c8a285c4-0cfe-4aea-9ce2-aaebb7fc7309,Industrial Chef's Kitchen,"Industrial chef aesthetic prioritizing functionality with commercial-grade stainless steel surfaces and appliances. Open metal shelving instead of closed cabinetry. Exposed architectural details like brick or ductwork. Subway tile and concrete finishes. Professional, utilitarian atmosphere."
3628dfdd-e7ca-4e36-96a6-ab36c524fc34,Industrial Chic,"Industrial chic aesthetic with white subway tiles and dark grout. Black metal accents and Crittall-style grid frames. Raw textures like concrete surfaces. Exposed piping and utilitarian fixtures. Edgy, urban sophistication with honest materials."
817f83d3-dbc2-4450-a589-50a911e831dc,Industrial Creative Studio,"Industrial creative studio aesthetic with raw materials like reclaimed wood on metal trestle frames. Exposed brick or concrete elements. Vintage industrial lighting like architect lamps. Energetic, raw, and functional atmosphere celebrating honest construction."
c6d9e844-1886-468f-99c3-9ad34aa185de,Industrial Loft,"Industrial loft aesthetic incorporating raw materials like exposed brick walls, concrete floors, and visible ductwork. Black metal finishes and distressed leather furniture. Masculine, edgy, and spacious warehouse atmosphere with high ceilings and open layouts."
d4996ac3-beed-452a-957a-fcd2af77dd94,Industrial Loft Dining,"Industrial dining aesthetic combining raw wood (live edge) with heavy metal frames. Metal seating like Tolix-style chairs or leather benches. Exposed elements like brick walls and filament bulb lighting. Urban, authentic atmosphere with reclaimed character."
b586c674-478d-4253-a2fa-479f971e8966,Industrial Man Cave,"Industrial man cave aesthetic embracing raw construction elements like concrete floors and exposed ceiling beams. Neon signage and entertainment features. Sturdy metal and wood furniture. Bold, masculine atmosphere perfect for socializing and entertainment."
803e93fa-1590-4049-8c8f-2be9500c5d7c,Industrial Open System,"Industrial open storage aesthetic using black metal piping for structure and reclaimed wood for shelving. Exposed walls (brick or concrete) behind open frameworks. Retail-display look avoiding heavy cabinetry. Airy, organized, utilitarian presentation."
c74e041c-eeb5-46ab-aa06-4d097b9a132b,Industrial Steel,"Industrial steel aesthetic with heavy blackened metal structural elements. Reclaimed wood or metal grating surfaces. Cable railing systems or horizontal metal bars. Exposed brick or concrete walls. Raw, architectural, and boldly structural character."
abb15f4d-8df1-4488-aa12-c8f0c632c779,Ink & Marker Sketch,"Hand-drawn architectural concept sketch aesthetic with strong black ink outlines for geometry. Alcohol marker style coloring for surfaces and furniture. Loose, expressive lines suggesting a creative design phase. Artistic, conceptual presentation."
865544ee-6507-48f6-b29a-3eb677034696,Ink & Watercolor,"Professional ink and watercolor illustration aesthetic with distinct black ink outlines defining structure. Soft, translucent watercolor washes in vibrant but natural colors. Artistic, hand-crafted character maintaining sketch authenticity."
5b9dd8d7-7547-411d-8de3-12b44e6578e6,Japandi (Zen Sanctuary),"Japandi aesthetic blending Scandinavian functionality with Japanese rustic minimalism. Low-profile furniture and natural materials like bamboo, light wood, and linen. Warm neutral colors (cream, beige, stone). Zen, uncluttered sanctuary atmosphere with mindful simplicity."
8f4556eb-c8ea-4ee5-9a04-b5ad7a5d662a,Jungle Adventure,"Jungle adventure theme with deep greens and earthy browns. Botanical or animal-themed patterns and wallpaper. Adventurous elements like canvas textures, wooden accents, and nature-inspired decor. Wild but cozy hideout atmosphere with exploratory character."
75283a80-2e46-478f-a3dd-c84b5c564363,Luxury Fitness Club (Equinox Style),"Luxury fitness club aesthetic with dark, moody color palette (charcoal, black, dark wood). Full-wall mirrors expanding space. Architectural lighting (LED strips, recessed fixtures). Sleek, high-end black finishes. Exclusive, premium atmosphere."
11a2a969-6f2c-45e1-bd87-a9af89de9f79,Luxury Glamour (Marble),"Luxury glamour aesthetic with floor-to-ceiling marble or porcelain (Calacatta or Carrara style). Brushed gold or brass fixtures and hardware. Elegant lighting features. High-end, 5-star hotel suite atmosphere with opulent finishes."
41677f4d-f379-406c-b173-4f87930530b6,Mid-Century Balcony,"Mid-century outdoor aesthetic with natural materials like teak, walnut, glass, and woven rattan, complemented by concrete elements. Warm neutrals, charcoal grays, with pops of olive green or mustard yellow. Low-slung, organically shaped furniture with tapered legs. Warm, diffused lighting from iconic globe fixtures creating an inviting atmosphere."
b7d9955d-895b-43d5-8b6b-ec87bae38c28,Mid-Century Modern,"Mid-century modern aesthetic with low-pitched or flat roof lines and wide, overhanging eaves. Clerestory windows and material palette of brick, wood, and glass. Pops of accent color (orange or teal). Clean geometric forms with organic influences."
d6ce7e38-aa11-4624-8845-ef15fb20d8b6,Mid-Century Style Dining,"Mid-century modern aesthetic with walnut or teak furniture featuring tapered legs. Iconic chair designs like Wishbone or molded shell silhouettes. Statement lighting (sputnik or globe style). Retro-chic, sophisticated atmosphere with timeless design."
1d69a6eb-9d0d-4666-a99d-c4e969c4e883,Minimalist Boutique,"Minimalist boutique aesthetic treating items like art in a gallery. Stark, clean backgrounds with white walls and concrete floors. Minimal shelving and displays avoiding overcrowding. Dramatic spotlighting highlighting focal points. Curated, gallery-like presentation."
117fc0c2-209b-402c-914e-41d1ed922798,Minimalist Potential (White Box),"Strict minimalist aesthetic using only key furniture pieces to establish scale. Stark white walls and bare or simple floors. Focus on highlighting architectural volume and natural light rather than furnishings. Pure, open, gallery-like space."
b435e319-44ef-4e72-a037-df5410ac0a59,Modern Contemporary,"Modern contemporary aesthetic with geometric box-like forms and flat roof lines. Mixed materials like cedar wood siding, smooth concrete, and matte black metal. Large floor-to-ceiling windows connecting indoor and outdoor spaces. Clean, bold architectural expression."
9f1dc61c-8b8a-434e-8346-692decaad4ef,Modern Family Rec Room,"Modern family aesthetic prioritizing versatility for all ages. Durable, comfortable furniture like large sectionals. Plenty of built-in storage solutions. Bright, neutral, and inviting color palette. Practical, welcoming atmosphere for gathering and activities."
fd2670fa-b25e-4d63-b743-a7789a969601,Modern Farmhouse,"Modern farmhouse aesthetic with substantial, rustic wooden furniture. Black timber accents (Windsor style elements) and natural wood finishes. Iron linear or lantern-style lighting. Bright walls (white or cream) with optional shiplap texture. Warm, contemporary rustic character."
2020bb60-6b32-4360-b25a-9e1e63012c26,Modern Farmhouse Exterior,"Modern farmhouse exterior aesthetic with white vertical board-and-batten siding. High-contrast black standing-seam metal roofing or black shingles. Black window frames and rustic timber accents. Crisp, high-contrast, contemporary rural character."
5405d9cc-30da-455f-8a52-f4c87413ec07,Modern Farmhouse Laundry Room,"Modern farmhouse utility aesthetic with white shiplap walls and shaker-style cabinetry (white, sage green, or navy). Rustic accents like wooden benches and woven storage baskets. Ceramic farmhouse fixtures. Cozy but highly functional atmosphere."
1d326da4-85fb-400b-a7ca-e5c7f7c32ddb,Modern Functional (Mudroom Hybrid),"Modern functional aesthetic prioritizing organization. Built-in seating with integrated storage. Wall hooks or sleek coat racks. Clean, simple lines with large mirrors. Durable flooring materials. Practical, streamlined, highly organized atmosphere."
07ff25d9-40bd-4247-8fb9-5adf13929a3e,Modern Infinity,"Modern infinity aesthetic with water features appearing flush with surroundings (knife-edge or perimeter overflow) for mirror-like effects. Light-colored stone coping (limestone or travertine). Uncluttered surroundings with sleek, modern furnishings. Seamless, luxurious atmosphere."
c4093b98-9e1d-4ae7-877e-1601e170d028,Modern Lounge,"Modern lounge aesthetic as seamless extension of contemporary design. Sleek, low-profile furniture that doesnt obstruct views. Black-framed elements and polished concrete or light wood flooring. Minimal decor focusing on openness and connection to surroundings."
a733e572-f7b7-47f7-b8fd-675d17f72f17,Modern Marketing Plan (2D),"Clean, modern 2D floor plan aesthetic with flat colors and vector-like lines. Walls rendered in solid grey or black. Color-coded flooring (light wood tones, tile patterns) kept flat without 3D shadows. Focus on clarity and readability for professional presentation."
98ec62c3-33e8-4ae1-b483-65d5c3c10229,Modern Minimalist,"Modern minimalist aesthetic with clean lines, open space, and monochromatic color palette (whites, greys, blacks). Functional furniture with simple geometric shapes. Clutter-free and ornamentation-free. Maximized natural light. Pure, refined simplicity."
e1c8eec9-b22f-45ae-8b61-380e2ad85266,Modern Minimalist Closet,"Modern minimalist storage aesthetic with clean lines and concealed storage. Flat-panel cabinetry in white or light grey. Highly organized layouts with designated places for everything. Airy, clutter-free atmosphere with seamless integration."
abdc3623-f0d6-4141-b833-f2d25504c40e,Modern Oasis (Concrete & Fire),"Modern oasis aesthetic with large-format concrete pavers and grass or gravel grout lines. Sleek, rectangular fire features as focal points. Modern, weather-resistant furnishings. Structural, minimal landscaping. Contemporary outdoor luxury."
25dd52da-1abc-4ff4-8605-849b82d54f9e,Modern Productivity Office (Minimalist),"Modern minimalist productivity aesthetic focusing on distraction-free environments. Clean lines and white or neutral color palette. Sleek work surfaces and high-quality ergonomic seating. Minimal clutter with hidden storage or simple floating shelves. Focused, efficient atmosphere."
e5bdc79e-2b5d-44a4-b1a9-0ed974e34359,Modern Real Estate Staging (Neutral),"Modern transitional staging aesthetic with neutral color palette (beiges, greys, whites) appealing to wide audiences. Perfectly scaled furniture showing potential without cluttering. Bright, inviting lighting. Professional, aspirational presentation."
51c8b59e-5789-4957-943d-f9f6b2a88930,Modern Spa (Zen/Japandi),"Modern spa sanctuary aesthetic with natural materials like teak wood, slate, and river stone. Freestanding soaking elements as focal points. Soft, warm ambient lighting with greenery accents. Calming, Zen-like atmosphere promoting relaxation and wellness."
d0e560ac-bf7d-4b2d-a547-e911eaa1fc69,Montessori Minimalist,"Montessori minimalist aesthetic where everything is accessible and child-scaled. Low furniture and open shelving at reachable heights. Spacious, uncluttered layouts fostering independence and focus. Neutral, calming colors with educational organization."
